M P UrF: Unread field: testcases.CWE129_Improper_Validation_of_Array_Index.s02.J10738.gB2G1Private  At J10738.java:[line 34]
H S SQL: testcases.CWE89_SQL_Injection.s04.J25094.handle() passes a nonconstant String to an execute or addBatch method on an SQL statement  At J25094.java:[line 54]
M P UrF: Unread field: testcases.CWE89_SQL_Injection.s04.J25094.privateFalse  At J25094.java:[line 13]
M S SQL: testcases.CWE89_SQL_Injection.s04.J25095.processG2B1() passes a nonconstant String to an execute or addBatch method on an SQL statement  At J25095.java:[line 27]
M S SQL: testcases.CWE89_SQL_Injection.s04.J25095.processG2B2() passes a nonconstant String to an execute or addBatch method on an SQL statement  At J25095.java:[line 66]
H S SQL: testcases.CWE89_SQL_Injection.s04.J25116.handle() passes a nonconstant String to an execute or addBatch method on an SQL statement  At J25116.java:[line 51]
M S SQL: testcases.CWE89_SQL_Injection.s04.J25117.processG2B() passes a nonconstant String to an execute or addBatch method on an SQL statement  At J25117.java:[line 24]
H S SQL: A prepared statement is generated from a nonconstant String in testcases.CWE89_SQL_Injection.s04.J25136.handle()  At J25136.java:[line 53]
M S SQL: A prepared statement is generated from a nonconstant String in testcases.CWE89_SQL_Injection.s04.J25137.processG2B1()  At J25137.java:[line 26]
M S SQL: A prepared statement is generated from a nonconstant String in testcases.CWE89_SQL_Injection.s04.J25137.processG2B2()  At J25137.java:[line 65]
M D UwF: Unwritten public or protected field: testcasesupport.AbstractTestCaseClassIssue.badObject  At AbstractTestCaseClassIssue.java:[line 44]
M D UwF: Unwritten public or protected field: testcasesupport.AbstractTestCaseClassIssue.good1Object  At AbstractTestCaseClassIssue.java:[line 22]
M S Dm: Empty database password in testcasesupport.IO.getDBConnection()  At IO.java:[line 70]
H B DMI: Random object created and used only once in testcasesupport.IO.staticReturnsTrueOrFalse()  At IO.java:[line 100]
M V MS: testcasesupport.IO.staticFalse isn't final but should be  At IO.java:[line 85]
M V MS: testcasesupport.IO.staticFive isn't final but should be  At IO.java:[line 86]
M V MS: testcasesupport.IO.staticTrue isn't final but should be  At IO.java:[line 84]
